# 02/20/2021, 21:33:11 
# resultsAmadou 

# Visualization data
# time unit: min
# channels unit: MOhm


Time	ch1
  200.0000	   13.5995
  200.5000	   13.6919
  201.0000	   13.7783
  201.5000	   13.9217
  202.0000	   14.0210
  202.5000	   14.0993
  203.0000	   14.1611
  203.5000	   14.2878
  204.0000	   14.3482
  204.5000	   14.3830
  205.0000	   14.4892
  205.5000	   14.5644
  206.0000	   14.5682
  206.5000	   14.7027
  207.0000	   14.6907
  207.5000	   14.7595
  208.0000	   14.8828
  208.5000	   14.9408
  209.0000	   14.9022
  209.5000	   14.9884
  210.0000	   15.0637
  210.5000	    8.6823
  211.0000	    7.4799
  211.5000	    6.8638
  212.0000	    6.4498
  212.5000	    6.1560
  213.0000	    5.9072
  213.5000	    5.7145
  214.0000	    5.5554
  214.5000	    5.4181
  215.0000	    5.2879
  215.5000	    5.1795
  216.0000	    5.0874
  216.5000	    4.9937
  217.0000	    4.9133
  217.5000	    4.8328
  218.0000	    4.7605
  218.5000	    4.6979
  219.0000	    4.6408
  219.5000	    4.5850
  220.0000	    4.5278
  220.5000	    4.4778
  221.0000	    4.4271
  221.5000	    4.3889
  222.0000	    4.3421
  222.5000	    4.2989
  223.0000	    4.2639
  223.5000	    4.2305
  224.0000	    4.1880
  224.5000	    4.1595
  225.0000	    4.1254
  225.5000	    4.0978
  226.0000	    4.0664
  226.5000	    4.0349
  227.0000	    4.0088
  227.5000	    3.9817
  228.0000	    3.9513
  228.5000	    3.9288
  229.0000	    3.9022
  229.5000	    3.8826
  230.0000	    3.8556
  230.5000	    3.8337
  231.0000	    3.8117
  231.5000	    3.7963
  232.0000	    3.7724
  232.5000	    3.7586
  233.0000	    3.7318
  233.5000	    3.7227
  234.0000	    3.6982
  234.5000	    3.6862
  235.0000	    3.6632
  235.5000	    3.6495
  236.0000	    3.6303
  236.5000	    3.6205
  237.0000	    3.5980
  237.5000	    3.5887
  238.0000	    3.5697
  238.5000	    3.5602
  239.0000	    3.5402
  239.5000	    3.5306
  240.0000	    3.5178
  240.5000	    3.4992
  241.0000	    3.4929
  241.5000	    3.4765
  242.0000	    3.4663
  242.5000	    3.4533
  243.0000	    3.4431
  243.5000	    3.4278
  244.0000	    3.4194
  244.5000	    3.4067
  245.0000	    3.3981
  245.5000	    3.3818
  246.0000	    3.3738
  246.5000	    3.3645
  247.0000	    3.3510
  247.5000	    3.3453
  248.0000	    3.3345
  248.5000	    3.3238
  249.0000	    3.3115
  249.5000	    3.3074
  250.0000	    3.2919
  250.5000	    3.2837
  251.0000	    3.2790
  251.5000	    3.2677
  252.0000	    3.2599
  252.5000	    3.2542
  253.0000	    3.2452
  253.5000	    3.2334
  254.0000	    3.2258
  254.5000	    3.2172
  255.0000	    3.2118
  255.5000	   11.3072
  256.0000	   13.3503
  256.5000	   14.1839
  257.0000	   14.6828
  257.5000	   15.0401
  258.0000	   15.3852
  258.5000	   15.6148
  259.0000	   15.7927
  259.5000	   16.0019
  260.0000	   16.1629
  260.5000	   16.2377
  261.0000	   16.4576
  261.5000	   16.6191
