# 02/18/2021, 12:46:38 
# rGO-based sensors 

# Normalization data
# time unit: min
# normalization point: 50.0 min


Time	ch1 norm	ch2 norm	ch3 norm	ch4 norm
173.0000000	 0.7381868	 0.7691925	 0.7671140	 0.6748972
174.0000000	 0.7161668	 0.7465834	 0.7388399	 0.6608816
175.0000000	 0.7014952	 0.7309978	 0.7183547	 0.6524707
176.0000000	 0.6906871	 0.7193509	 0.7026452	 0.6469203
177.0000000	 0.6823648	 0.7100238	 0.6904163	 0.6437689
178.0000000	 0.6757022	 0.7032328	 0.6808062	 0.6416538
179.0000000	 0.6704345	 0.6972956	 0.6729156	 0.6394461
180.0000000	 0.6661833	 0.6914775	 0.6664532	 0.6405411
181.0000000	 0.7063678	 0.7248554	 0.6918952	 0.7304139
182.0000000	 0.7369437	 0.7503514	 0.7118684	 0.7795589
183.0000000	 0.7604265	 0.7701633	 0.7282225	 0.8143482
184.0000000	 0.7796403	 0.7861815	 0.7420930	 0.8415503
185.0000000	 0.7964357	 0.8002628	 0.7544366	 0.8648275
186.0000000	 0.8104277	 0.8126245	 0.7655025	 0.8842718
187.0000000	 0.8229179	 0.8236393	 0.7757336	 0.8992529
188.0000000	 0.8339201	 0.8335231	 0.7849062	 0.9126235
189.0000000	 0.8436895	 0.8426630	 0.7932480	 0.9248679
190.0000000	 0.8525215	 0.8506540	 0.8012643	 0.9348022
191.0000000	 0.8602868	 0.8575508	 0.8087170	 0.9428944
192.0000000	 0.8676684	 0.8649754	 0.8156707	 0.9513986
193.0000000	 0.8741710	 0.8713056	 0.8221209	 0.9578869
194.0000000	 0.8804917	 0.8770796	 0.8280543	 0.9629472
195.0000000	 0.8861066	 0.8822342	 0.8340070	 0.9689458
196.0000000	 0.8912567	 0.8880498	 0.8396287	 0.9734921
197.0000000	 0.8958725	 0.8920826	 0.8445408	 0.9763632
198.0000000	 0.9002781	 0.8964541	 0.8493502	 0.9810542
199.0000000	 0.9043468	 0.9011101	 0.8542562	 0.9841320
200.0000000	 0.9082872	 0.9046579	 0.8586027	 0.9862951
201.0000000	 0.9118654	 0.9080940	 0.8628136	 0.9892145
202.0000000	 0.9148097	 0.9118780	 0.8669876	 0.9914665
203.0000000	 0.9184692	 0.9148919	 0.8707127	 0.9931045
204.0000000	 0.9213829	 0.9184090	 0.8742930	 0.9941699
205.0000000	 0.9238933	 0.9212928	 0.8780688	 0.9963441
206.0000000	 0.9263247	 0.9235663	 0.8810884	 0.9969143
207.0000000	 0.9286230	 0.9262085	 0.8844976	 0.9991712
208.0000000	 0.9310889	 0.9288988	 0.8875893	 1.0003586
209.0000000	 0.9329554	 0.9311107	 0.8906253	 1.0004781
210.0000000	 0.9352395	 0.9340272	 0.8935858	 1.0017260
211.0000000	 0.9372130	 0.9360243	 0.8963476	 1.0024920
212.0000000	 0.9389857	 0.9374187	 0.8987768	 1.0024329
213.0000000	 0.9409680	 0.9394677	 0.9014253	 1.0033615
214.0000000	 0.9426803	 0.9415988	 0.9038599	 1.0033516
215.0000000	 0.9439844	 0.9429576	 0.9063868	 1.0037894
216.0000000	 0.9458248	 0.9442309	 0.9085904	 1.0044879
217.0000000	 0.9472826	 0.9458986	 0.9108777	 1.0052171
