3360	44154.5469	619888.375	1109514.25	32637.123	368033.969	519969.531
3390	44307.4336	619480.688	1110817.37	32756.5645	368041.344	520172.094
3420	44463.2187	620381.312	1108814.13	32878.1523	368188.344	520430.406
3450	44616.8555	619667.125	1113706	32992.7617	368098.406	521153.844
3480	44763.2422	620203.125	1118608.12	33114.3164	368232.344	521699.031
3510	44919.5156	619626.25	1118006.25	33232.7969	368154.406	522319.219
3540	45068.3438	618986.75	1119220	33351.0859	368123.375	522801.125
3570	45220.0664	636792.5	1123968.12	33471.7617	368248.969	523332.125
3600	45370.9766	638355.5	1118580.75	33589.8711	368298.25	524184.563
3630	45526.4063	630399.875	1122334.38	33707.0625	368304.781	524711.063
3660	45673.7539	638351.062	1114808.63	33831.0273	368384.625	525299.125
3690	45825.4922	626496.437	1115925.88	33942.9297	368603.469	525833
3720	45969.8633	638131	1124089.37	34062.957	368530.531	526258.938
3750	46119.457	638825.375	1122412.13	34183.8906	368483.531	526753.063
3780	46272.4609	629708.813	1114168.75	34299.7227	368488.75	526991.688
3810	46415.9727	623495	1117550.12	34412.8477	368570.25	526847.375
3840	46559.9258	638600.875	1113723.75	34532.2227	368550.375	527200.437
3870	46709.6641	631037.062	1122421.75	34650.6875	368488.969	527399
3900	46855.1562	639495.062	1111448.75	34764.7305	368531.438	527928.875
3930	47005.2891	634113.562	1111986	34882.2539	368450.437	528494.625
3960	47148.0234	639727.063	1118738.75	35001.4727	368615.781	529118.875
3990	47297.2422	635098.625	1125312.87	35113.7344	368620.625	529846.625
4020	47445.6758	639906.375	1123646.13	35231.8281	368518.469	530484.25
4050	47584.4805	633678.938	1121515.13	35347.7578	368547.406	530904.375
4080	47728.4492	640283.812	1127089	35459.4922	368518.688	531682.875
4110	47872.918	635025.313	1126104.62	35574.4844	368628.469	532543.812
4140	48018.2422	628435.938	1128031.75	35691.3984	368649.469	533076.875
4170	48160.0703	640334.25	1126420.87	35801.8125	368639.219	533509.187
4200	48298.6602	641361.875	1129026.38	35922.0625	368483.938	534203.688
4230	48443.4023	633636.875	1125688.63	36029.8516	368574.5	534834.625
4260	48591.8945	626285.937	1125121	36146.7031	368553.406	535364.562
4290	48731.7227	623656.313	1120482.75	36261.6289	368673.594	536355.125
4320	48867.6523	640786.75	1126917.5	36369.6914	368539.469	537137.938
4350	49011.0703	635386.937	1131813.87	36487.4727	368486.563	537811.438
4380	49151.9844	642210.562	1127463.62	36597.5117	368689.031	538522.875
4410	49288.0234	637548.438	1194314.5	36710.0859	368779.719	538939.5
4440	49426.2891	643053.25	1199140.75	36827.2227	368732.781	539739.063
4470	49569.6133	643518.375	1178945.62	36934.8125	368839	540859.937
4500	49705.8867	629274.375	1162330.25	37048.6953	369001.219	541227.062
4530	49837.2852	643589.562	1198976.75	37165.6328	369052.625	541656.688
4560	49979	644019.5	1151138.13	37271.9648	369063.031	541914.625
4590	50124.875	644363.188	1132307	37384.8086	369008.719	542177
4620	50255.1406	644265.563	1138691.63	37501.6758	369131.375	541910.937
4650	50393.207	644482.938	1130318.75	37607.9453	369098.531	541769.75
4680	50528.3789	644823.438	1127393.5	37718.6914	369124.75	541832.563
4710	50661.0977	626265.125	1126361	37830.1758	369245.344	541893.938
4740	50799.6484	623736.187	1129070.37	37937.7461	369284.969	542076.25
4770	50933.3242	625272.625	1135795.5	38049.1523	369039.531	542369
4800	51065.6328	625850.938	1197827.38	38153.875	369209.938	542242.187
4830	51208.375	624726.375	1202192.12	38266.4258	369236.188	542576.875
4860	51341.332	625194.375	1200054	38377.0859	369405.563	542979.813
4890	51464.3047	624937.562	1186057.25	38482.2852	369440.563	542870.625
4920	51607.9102	626394.438	1177680	38594.3633	369486.5	542840.5
4950	51734.0195	626172.063	1170776.87	38701.0469	369451.719	543261
4980	51865.6172	625906.125	1168077.25	38805.793	369478.656	543308.188
5010	52005.0781	628620.063	1167206.13	38914.7422	369543.594	543424.75
5040	52133.5039	630168.063	1166009.38	39021.7109	369547.031	542955.063
5070	52270.5898	630873.812	1163199.13	39128.5312	369626.625	542155.063
5100	52398.0781	631481.688	1160701.5	39240.2344	369657.063	541656.313
5130	52528.918	631038.813	1153434.75	39346.9375	369798.25	540934.187
5160	52659.2813	632959.188	1201710.25	39453.9805	369941.937	540604.125
5190	52792.2188	628815.313	1208115.75	39562.7695	369790.969	540423.812
5220	52920.3438	630026.75	1152689	39668.0859	369978.781	540078.125
5250	53056.6758	630680.187	1151652.75	39771.793	369994.281	539972.812
5280	53188.9062	633495.313	1146586	39881.957	370215.156	539782.875
5310	53311.7109	631778.063	1147713.88	39983.1406	370195.125	539791.812
5340	53437.9922	630452.375	1147071.38	40092.4883	370160.5	539634.625
5370	53564.375	629255.625	1152045.5	40193.9375	370302.906	539360.75
5400	53692.7852	634096.187	1144037.13	40301.418	370483.156	539319.438
5430	53818.7695	633380.938	1145008.88	40411.793	370385.188	538946.875
5460	53951.4805	635129.188	1151052.25	40509.1563	370521.219	538768.688
5490	54080.3281	635662.438	1154993.63	40616.0391	370587.312	538020.313
5520	54202.4258	632695.813	1154940.5	40723.3008	370622.719	537388.75
5550	54320.8203	632542.063	1148606	40827.6016	370798.438	537511.437
5580	54454.9727	630939.25	1147592.37	40932.0586	370865.813	537805.313
